Date,Close,High,Low,Open,Volume,Symbol,SMA_20,SMA_50,EMA_20,EMA_50,Rolling_Std,BB_Upper,BB_Lower
2024-12-09,1868.3572998046875,1874.7189577548504,1842.667498232043,1868.8914196597943,4274645,INFY.NS,1823.9805114746093,1813.021064453125,1828.441209144389,1809.376050538871,35.7054803508519,1895.391472176313,1752.5695507729056
2024-12-10,1892.54150390625,1909.101352624084,1876.4671647750904,1883.2659588503625,6174921,INFY.NS,1829.7400695800782,1814.3748608398437,1834.545999121709,1812.6374408670035,37.05297202530176,1903.8460136306817,1755.6341255294747
2024-12-11,1917.4056396484373,1921.1449526741412,1895.8922889888397,1898.806057875605,5025612,INFY.NS,1835.278662109375,1816.10109375,1842.4373934575879,1816.7459976819619,41.43692976217294,1918.1525216337209,1752.4048025850293
2024-12-12,1929.8863525390625,1941.3472248051385,1913.909233129633,1918.4254802729863,6462130,INFY.NS,1841.0187866210938,1818.6752221679687,1850.7658657510615,1821.1828743430247,46.17311155074726,1933.3650097225884,1748.6725635195992
2024-12-13,1942.22119140625,1948.777171484316,1897.6406217246504,1913.132112410419,5362693,INFY.NS,1847.3950805664062,1820.9438647460938,1859.4758967658413,1825.9294750121708,50.909117852684226,1949.2133162717746,1745.576844861038
2024-12-16,1923.1361083984373,1942.1240981650324,1920.756459296608,1938.0933607570853,3119221,INFY.NS,1853.004083251953,1823.04111328125,1865.5387740641838,1829.741499850848,52.82678238094503,1958.657648013843,1747.350518490063
2024-12-17,1919.78515625,1925.029963920521,1901.7198129951464,1911.432375880719,5811050,INFY.NS,1861.0242309570312,1824.595986328125,1870.7050961771188,1833.2726236312071,49.96362334788389,1960.951477652799,1761.0969842612635
2024-12-18,1922.261962890625,1927.8951783904936,1905.216367108079,1910.266971091808,3064095,INFY.NS,1868.5223266601563,1825.8902099609375,1875.6152739593574,1836.7624016413806,47.119422767774914,1962.7611721957062,1774.2834811246064
2024-12-19,1890.2589111328125,1903.4194810568972,1864.812044204232,1878.4096320265544,5323592,INFY.NS,1873.9686401367187,1826.2706787109375,1877.009906071115,1838.860303974378,42.588453680866024,1959.1455474984507,1788.7917327749867
2024-12-20,1866.900390625,1923.038935729017,1856.313672846486,1918.3769764514816,11056720,INFY.NS,1874.9350463867188,1826.1033129882812,1876.047095076247,1839.959915215579,42.17523849158186,1959.2855233698824,1790.5845694035552
2024-12-23,1868.988525390625,1884.2372017118132,1854.1282567360065,1874.5732490554924,2781793,INFY.NS,1876.6153259277344,1826.625927734375,1875.374850344283,1841.0982920851886,41.174077735949794,1958.963481399634,1794.2671704558347
2024-12-24,1854.1768798828125,1886.1797274213889,1787.111585198432,1871.6594932162752,2360544,INFY.NS,1875.8820251464845,1826.5430859375,1873.355996014619,1841.611177881174,41.4494666693372,1958.7809584851589,1792.98309180781
2024-12-26,1852.5743408203125,1864.5693327398988,1847.6209572676305,1854.1769374713,3623321,INFY.NS,1875.0515991210937,1825.9710791015625,1871.3767907580184,1842.0411058395716,41.75598580562259,1958.5635707323388,1791.5396275098485
2024-12-27,1861.655517578125,1868.8428379280156,1849.1748978049127,1854.5168074679775,3937500,INFY.NS,1877.9702270507812,1825.5730126953124,1870.4509552170762,1842.81029845677,38.37901988215404,1954.7282668150892,1801.2121872864732
2024-12-30,1851.214599609375,1860.9271630910607,1832.2751008200871,1860.635738761984,7789055,INFY.NS,1880.3085327148438,1825.7190209960938,1868.6189213496762,1843.139878894127,34.93384571210263,1950.176224139049,1810.4408412906384
2024-12-31,1825.9617919921875,1842.473148621904,1792.0164326986576,1837.9082915665465,3613063,INFY.NS,1880.3182373046875,1824.4380639648436,1864.556337601344,1842.4662284273843,34.91792020708114,1950.1540777188497,1810.4823968905253
2025-01-01,1828.389892578125,1838.5394729768452,1820.134214444306,1820.134214444306,1838368,INFY.NS,1879.8520263671876,1824.905439453125,1861.1119142657992,1841.9142152568252,35.57279879140553,1950.9976239499986,1808.7064287843766
